바람에게 부탁해,Forte Escape,Fantasy R&B,P1,1,7,0,0,6,7,0,0,3,7,9,0,4,8,0,0,106
바람에게 부탁해 ~Live Mix~,Forte Escape,Live Pop,P1,5,0,12,15,6,10,0,0,7,11,0,0,7,0,13,14,161
비상 ~Stay With Me~,Mycin.T,Electronic Rock,RP,4,7,0,0,6,10,0,0,6,10,11,0,7,11,0,0,117
설레임,ND Lee,Cute Pop,P2,3,5,0,0,4,8,0,0,4,7,9,0,6,9,0,0,125
아침형 인간,ND Lee,80's 8bit,P1,4,8,0,0,8,9,0,0,6,9,0,0,8,10,0,0,134
염라,ampstyle,,RP,5,12,0,0,6,10,0,15,5,9,13,15,5,10,13,0,131
태권부리,xxdbxx,Happy Core,P2,5,7,0,14,6,0,13,0,6,10,14,0,7,0,13,14,120
피아노 협주곡 1번,Wav Factory,Classic Remix,P1,5,10,0,0,7,11,0,15,7,11,0,15,7,11,0,0,120
혜성,Mycin.T,Pop Dance,RP,3,8,0,0,5,9,0,0,6,10,0,0,5,11,0,0,159
2Nite,ND Lee,Funk,RP,3,6,0,0,4,9,0,0,3,8,0,0,4,8,0,0,126
A Lie,makou,R&B,P2,2,5,0,0,5,9,0,0,4,6,12,0,7,9,0,0,137
A.I,Forte Escape,Techno,P1,4,9,0,0,8,12,0,14,7,11,13,0,8,10,0,14,146
Alone,Marshmello,Future Bass,RP,6,10,0,0,4,8,0,0,5,8,12,0,5,8,12,0,202
Always,YUGI / Mool,Pop,RP,4,7,0,0,6,9,0,0,5,10,0,0,6,10,0,0,157
Another DAY,Forte Escape,Techno Pop,P2,3,7,11,13,6,8,0,0,5,8,10,13,7,10,0,0,120
Armored Phantom,ned,Epic Music,RP,3,7,0,0,6,11,0,0,7,9,12,0,6,11,0,0,127
Astro Fight,Forte Escape,Funky Stomp,P1,8,13,0,0,8,11,0,15,7,13,14,0,8,12,0,15,112
Beautiful Day,ND Lee,Cute Pop,RP,3,6,8,0,4,8,0,0,2,8,0,0,4,8,0,0,132
Beyond Yourself,Mycin.T,Progressive Rock,RP,6,9,0,0,6,10,0,0,7,9,12,0,6,11,0,0,123
Binary World,Tsukasa,Art Core,RP,5,8,13,0,5,7,13,15,9,12,13,0,5,7,13,15,120
BlackCat,BEXTER,Nu Funk,RP,5,12,0,0,6,11,0,13,5,8,12,13,7,12,0,0,130
Bleed,Axol & The Tech Thieves,Electronica Downtempo,RP,3,5,0,0,5,9,0,0,5,9,0,0,5,9,0,0,151
BlythE,M2U,Synth DnB,P1,6,10,14,0,6,11,0,15,8,11,14,15,7,0,14,0,135
Boom!,BEXTER,Funk Rock,RP,4,8,12,0,6,8,12,15,5,9,13,0,6,10,13,14,96
Brain Storm,Croove,Junkno,P2,6,11,0,15,7,13,15,0,9,14,0,0,8,13,15,15,105
Brandnew Days,PlanetBoom,Pop Rock,P2,3,8,0,0,6,8,0,0,7,10,11,0,7,10,0,0,140
Brave it Out,BEXTER,Agressive Funk,P2,6,8,0,0,5,9,11,0,6,10,13,0,7,10,12,0,117
Break a Spell,Daisuke Ishiwatari,,GG,5,9,14,0,6,10,0,15,7,9,14,15,7,10,14,0,123
Bright Dream,M2U,Anime House,P1,2,4,0,0,5,8,0,0,4,7,10,0,6,9,0,0,118
"Bullet, Wanted!",Mycin.T,Blues Rock,RP,4,8,0,0,7,10,0,0,6,9,11,0,7,11,0,0,96
Bye Bye Love,3rd Coast,Latin House,P2,2,8,0,0,6,7,0,0,6,9,11,0,6,8,0,0,122
Can We Talk,Forte Escape,Acid Jazz,P1,1,7,0,0,7,9,13,0,5,8,11,0,8,9,13,0,128
Catch Me,Forte Escape,Alternative Rock,P1,3,6,0,0,6,0,0,0,7,8,0,0,8,12,0,0,108
Chain of Gravity,Tsukasa,Melodic Trance,P2,5,12,0,14,5,10,0,0,7,10,12,14,6,12,0,0,136
Chemical Slave,XeoN,Euro Dance,RP,5,11,0,14,6,0,11,0,6,12,0,15,3,8,14,0,103
Cherokee,xxdbxx,Trance Fusion,P2,5,8,0,0,7,9,0,14,6,9,13,14,7,10,0,0,129
Child of Night,GOTH,Electro House,RP,6,8,0,15,7,9,12,0,7,10,12,15,7,9,12,0,110
Chrono Breakers,NieN,Ani Pop,P1,5,7,11,13,7,10,0,0,7,12,0,13,8,12,0,0,135
CnP,CRooFE,Electro Funk,P1,3,8,12,0,4,9,12,14,4,9,12,0,5,10,12,14,111
Dance of the Dead,GOTH,Dubstep,RP,6,9,0,15,6,12,14,0,6,11,14,0,6,12,14,15,135
DIVINE SERVICE,Electronic Boutique,Ethnic Techno,P2,4,7,0,0,4,9,0,14,4,8,12,14,7,10,0,0,123
Don't Die,Paul Bazooka,DnB,RP,5,10,13,15,7,10,14,0,8,11,14,15,7,10,14,0,128
Dreadnought,EarBreaker,Big Beat,P1,6,9,12,15,8,11,0,0,8,0,13,15,8,13,0,0,142
Dream of You,makou,Sweet Jazz,P2,4,7,11,0,6,10,0,14,5,9,11,14,8,12,0,0,134
Elastic Star,Forte Escape,Acid House,P1,4,7,0,0,6,7,0,0,4,8,0,0,4,7,0,0,112
End of the Moonlight,Forte Escape,Techno Pop,P1,3,7,10,0,5,9,0,14,5,9,12,14,7,11,0,0,113
Enemy Storm,Croove,Hard Core,P1,2,5,13,14,5,8,0,0,6,8,11,0,5,10,14,14,122
Enter The Universe,GOTH,Hard Trance,RP,6,9,12,0,7,10,15,15,9,12,14,15,7,10,14,0,117
Eternal Memory ~소녀의 꿈~,M2U,Fantasy Pop,P1,2,6,0,0,3,9,0,0,2,7,0,0,5,7,0,0,135
Extreme Z4,Forte Escape,Break Beat,P1,3,7,0,0,4,8,0,0,7,9,0,0,8,12,0,0,101
Fallen Angel,DJ Mocha,Modern Rock,P2,4,9,0,0,4,8,0,0,3,7,10,0,8,10,0,0,121
Far East Princess,Nauts,Oriental Ballad,RP,5,7,10,0,5,10,0,0,3,9,10,0,5,9,0,0,140
FEAR,Supbaby,DnB,P1,4,9,0,0,5,9,12,0,6,12,0,0,8,11,12,0,119
Fentanest,EarBreaker & Eszett,Spiral Sequence,P2,4,10,0,14,6,9,0,0,7,11,0,15,6,9,0,0,121
Fever GJ,xxdbxx,Nu HnS,P1,3,7,0,0,3,6,0,0,3,7,9,0,7,0,0,0,130
Fly Away,XeoN,Melodic Trance,RP,3,10,0,0,6,10,0,0,4,0,11,14,6,10,0,0,135
For Seasons,makou,Easy Listening,P2,1,6,0,0,6,9,0,0,4,7,11,0,5,10,0,0,132
For the IKARUS,NieN,Ani Pop,P2,4,8,0,0,5,11,0,0,8,0,12,0,6,12,0,0,137
FTR,Supbaby,Electric House,P1,6,10,0,0,5,10,0,14,8,11,0,0,7,11,0,13,144
Funky Chups,Forte Escape,Funky Electro,P1,4,8,0,0,5,10,0,0,4,6,0,0,7,0,0,0,94
Futurism,Forte Escape,Electro Fusion,P1,4,8,0,0,7,9,0,14,6,8,11,0,8,10,0,14,115
Get Jinxed,Agnete K,,RP,5,8,13,0,5,8,12,14,5,9,11,14,5,8,12,14,157
Get on Top,PlanetBoom,P-Funk,P2,3,7,0,0,6,9,0,0,5,8,12,0,7,10,0,0,131
GET OUT,ND Lee,R&B HipHop,P2,5,8,0,0,4,9,0,0,4,8,13,0,7,10,0,0,125
Ghost Voices,Virtual Self,Neo Trance,RP,4,9,0,0,5,11,0,0,6,10,0,0,6,11,0,0,236
glory day,BEXTER x Mycin.T,J-Rock,RP,8,10,0,13,7,10,0,0,6,11,0,13,7,10,0,13,142
Good Bye,Ruby Tuesday,J-Pop 8090,P2,5,7,0,14,4,9,0,0,7,0,12,14,6,9,0,0,130
Groovin Up,Mycin.T,Disco Funk,RP,3,6,0,0,5,9,0,0,5,8,11,0,5,9,0,0,128
HAMSIN,makou,Trance,P1,9,0,15,15,6,9,13,0,9,12,14,0,6,9,14,15,140
Heavenly,makou,Tropical House,RP,5,7,0,0,4,8,0,0,5,9,12,0,4,9,0,0,119
Hello Pinky,NieN,HiFi Pop,P2,5,8,0,0,5,10,0,12,7,11,0,0,6,11,0,12,135
Higher,Supbaby,Epic House,P2,4,8,0,14,6,12,0,0,6,9,0,14,4,8,13,0,113
Holy Orders (Be Just Or Be Dead),Daisuke Ishiwatari,,GG,4,9,11,14,6,8,11,0,6,9,12,0,6,10,11,15,110
I want You ~반짝★반짝 Sunshine~,Mycin.T x GOTH x jam-jam,,RP,3,7,12,0,6,9,12,0,5,10,12,14,6,10,12,13,137
JBG,Croove,Yellow HipHop,P1,7,11,0,0,7,11,0,15,7,10,12,15,12,0,0,0,129
Jupiter Driving,xxdbxx,Techno Stock,P1,5,9,0,13,5,11,0,0,5,8,0,14,7,12,0,0,121
KILLER BEE,GOTH,Hybrid Trap,RP,4,6,11,15,7,11,0,0,8,9,13,0,7,13,0,15,132
Kingdom,Phantom sage,House,RP,5,0,11,0,5,7,0,0,5,0,8,0,6,11,0,0,176
KUDA,Gonzo,Techno Core,P1,8,11,0,14,5,9,0,0,8,12,0,15,10,0,0,0,107
Kung Brother,Paul Bazooka,Kungplextro,RP,6,9,0,0,6,11,0,0,8,10,13,0,6,11,0,0,122
Ladymade Star,ESTi,Space Idol Pop,P2,2,6,10,0,3,8,0,0,5,8,10,0,5,8,0,0,127
Lemonade,M2U,Lounge DnB,P1,8,0,0,14,6,13,0,0,7,10,0,15,8,13,0,0,134
Let's Go Baby,3rd Coast,HipHop,P1,2,5,0,0,6,8,0,0,3,7,10,0,9,0,0,0,130
Liar,zts,Techno Trance,RP,6,9,0,15,8,12,0,0,8,10,13,15,8,13,0,0,139
Lift You Up,makou,R&B,RP,2,5,0,0,4,7,0,0,3,7,0,0,4,7,0,0,103
Light House,xxdbxx,Happy Core,P1,4,9,0,0,4,11,0,0,6,8,11,0,7,12,0,0,120
Long Vacation,ESTi,School House,P1,4,8,0,0,3,6,0,13,5,9,0,0,7,0,0,13,129
Lost n' found,bermei.inazawa,Electronic Pop,P2,3,7,0,0,6,8,0,0,5,9,0,0,7,9,0,0,135
Luv Flow,3rd Coast,R&B Medium,P1,1,5,0,0,3,6,0,0,1,5,0,0,6,8,0,0,131
Marionette,Daisuke Ishiwatari,,GG,5,9,13,0,7,12,0,15,6,10,13,15,8,0,13,0,124
MASAI,Croove,New Wave,P1,4,7,11,0,5,8,12,0,7,10,12,0,10,0,0,0,128
Memoirs,M2U,Fantasy,P2,4,7,0,13,7,10,0,13,6,9,11,0,7,10,0,0,138
Memory of Beach,M2U,Dance Pop,P1,6,11,0,0,7,12,0,13,6,9,12,0,8,0,13,12,134
Mess it Up,Nauts,Electro Big Band,P2,5,9,0,0,4,9,0,0,9,12,0,0,6,10,0,0,130
Midnight Blood,NieN,Oriental Trance,P2,6,13,0,0,6,13,0,14,7,10,13,0,6,9,13,14,141
Miles,Electronic Boutique,Electro Fusion,P2,4,10,0,13,5,10,13,0,4,9,13,14,4,11,13,0,129
Minimal Life,EarBreaker,Techno,P1,5,7,0,0,7,9,0,0,8,12,0,0,8,10,14,0,149
Minus 3,Croove,Percussive Techno,P2,8,11,0,14,6,12,0,0,10,0,13,0,7,12,0,15,101
Mulch,Hosoe Shinji,Gabber,RP,6,12,0,0,7,0,14,15,8,12,14,15,7,0,15,0,110
My Alias,Dayz,Emo Core,P2,6,9,0,0,6,9,12,0,6,9,14,0,5,10,0,0,134
NANO RISK,Dayz,DnB Core,P2,7,0,0,0,7,11,0,0,6,9,12,0,7,11,0,0,135
NB POWER,NieN,Ani Rock,P2,5,7,0,15,6,9,13,0,7,11,13,0,7,10,0,15,124
NB RANGER,M2U,Scream Funk,P1,8,12,0,0,7,12,0,15,7,10,13,15,9,13,0,0,121
NB RANGER - Virgin Force,NieN,Hard Rock,RP,5,10,0,15,7,12,15,0,7,12,14,15,7,11,15,0,143
NB Rangers -Returns-,NieN,Progressive Metal,P2,5,9,0,15,7,11,0,0,9,11,13,0,7,13,0,15,137
Negative Nature,Electronic Boutique,Mixtune,P2,4,8,0,0,4,7,0,13,7,12,0,14,4,8,0,0,129
NEON 1989 (ESTi Remix),OREO,City Pop,RP,4,7,0,0,3,7,0,0,4,7,0,0,5,9,0,0,148
Never Say,ND Lee,Jungle Pop,P1,3,6,0,0,6,7,0,14,2,7,12,0,8,0,0,14,124
Nightmare,M2U,DnB,P2,9,12,0,0,8,13,15,15,8,13,15,0,8,12,15,15,124
OBLIVION,ESTi,Dramatic Trance,P1,3,6,11,0,7,0,11,0,3,8,11,0,6,12,0,0,121
OBLIVION ~Rockin' Night Style~,NieN,Rock,P1,3,8,12,0,4,10,13,15,7,9,13,0,6,10,14,15,121
ON,ND Lee,2Step Slow,P1,3,5,0,0,2,6,0,0,6,10,0,0,7,0,0,0,129
One the Love,xxdbxx,Beer House,P1,2,5,0,0,6,8,0,0,3,6,11,0,7,8,0,0,134
Only for you,NieN,K-Pop,RP,1,4,9,11,5,7,10,0,4,7,11,12,5,7,10,12,145
OPEN FIRE,JC,HipHop,RP,4,7,0,0,4,8,0,0,5,7,0,0,5,8,0,0,114
Out Law,Croove,Nu Skool,P1,5,12,0,0,7,12,0,14,7,11,13,14,8,12,0,0,121
Over Your Dream,xxdbxx,Pop Rock,RP,5,11,0,0,5,11,0,0,5,10,11,0,7,12,0,0,100
Para-Q,Forte Escape,DnB,P1,3,10,0,0,6,8,0,0,7,10,0,0,10,0,0,0,95
Phantom Of Sky,M2U,Fantasy Pop,P2,3,7,10,0,4,7,0,12,5,10,0,12,4,8,0,0,135
plastic method,zts,Big Beat,P2,5,8,0,13,8,12,0,0,8,12,0,14,8,12,0,0,136
POP/STARS,K/DA,K-Pop,RP,5,9,12,0,5,8,12,15,5,8,11,14,5,9,13,14,194
quixotic,bermei.inazawa,Polypops,RP,7,12,0,15,7,11,0,0,6,0,13,15,7,11,13,0,131
Ray of Illuminati,ESTi,Euro Dance,P1,4,7,13,0,6,8,13,15,7,10,13,0,8,11,0,14,130
RED,Croove,Spanish R&B,P1,4,6,0,0,5,13,0,0,6,9,12,0,8,13,0,0,125
Remains Of Doom,NieN,Industrial Rock,RP,7,13,0,0,6,9,14,15,9,12,15,0,6,10,13,15,136
REVENGE,ND Lee,Hard Core,P1,5,0,11,0,3,7,0,14,8,12,0,0,10,0,0,15,121
Right Now,makou,Gospel R&B,P2,1,5,0,0,4,8,0,0,4,8,11,0,6,9,0,0,131
Road Of Death,NieN,Hard Core,P1,4,9,0,15,7,13,0,15,8,11,15,0,7,14,0,0,131
Rock Or Die,NieN,Hard Core,P1,6,0,0,15,6,9,0,0,6,10,12,0,6,9,0,15,107
Rocka-a-doodle-doo,makou,Funky Breaks,P2,3,9,0,0,4,8,0,0,7,11,0,0,5,9,12,0,140
RockSTAR,Mr.Funky,Electro House,RP,5,9,0,0,4,11,0,0,4,11,0,0,3,7,13,0,117
Rolling On the Duck,NieN,Hard Core,P2,7,13,0,0,7,10,14,15,8,11,14,0,7,10,14,15,142
Royal Clown,bermei.inazawa,Theatrical,RP,6,8,14,0,7,11,0,15,7,10,13,15,7,10,14,0,124
Runaway,LeeZu,Progressive Rock,RP,6,10,0,0,8,11,0,15,9,11,12,15,8,13,0,0,125
Running girl,Mycin.T,Pop Rock,RP,5,7,0,13,5,9,0,0,4,10,12,13,6,10,0,0,110
Ruti'n (GOTH Wild Electro Remix),GOTH,Moombahcore,RP,6,10,0,0,4,10,0,0,7,10,13,0,7,12,0,0,118
Sad Machine,Porter Robinson,Synth Pop,RP,3,5,8,0,5,7,10,12,4,7,10,13,5,7,10,0,194
Save My Dream,Forte Escape,Acid Dance,P1,1,4,0,0,2,4,0,0,2,5,9,0,5,8,0,0,110
Secret Dejavu,DINY,Ani Pop,RP,4,6,10,14,5,10,0,0,6,8,11,15,5,10,0,0,125
Seeker,M2U,Melodic Trance,P2,5,9,0,15,8,0,14,0,5,9,13,15,7,13,0,0,138
Shadow Flower,ned,Pop,RP,3,6,0,0,6,9,0,0,5,11,0,13,6,9,0,0,119
Showtime,Ruby Tuesday,Native Mambo,P2,6,10,0,13,6,9,0,0,8,12,0,0,6,10,0,14,126
SIN,ESTi,DnB,P1,3,6,11,15,7,10,0,15,7,10,14,0,9,12,15,0,117
SIN ~The Last Scene~,ESTi,DnB,P1,7,12,14,15,7,12,0,0,8,12,14,15,8,14,0,0,115
Smoky Quartz,makou,Dark Chill,P2,3,6,0,14,7,10,0,0,6,0,11,14,7,14,0,0,143
So Happy,Raven & Kreyn,Future House,RP,5,0,10,0,5,9,0,0,4,7,11,0,5,10,12,0,165
sO mUCH iN LUV,3rd Coast,Astro Pop,P2,1,6,0,0,3,6,0,0,4,7,11,0,7,0,0,0,132
SQUEEZE,Oriental ST8,Euro Beat,P2,4,9,0,15,7,11,0,0,8,10,12,0,7,12,0,14,138
STALKER,ND Lee,Pop Rock,P2,5,10,0,0,7,9,0,15,6,10,12,14,8,0,15,0,139
StarFish,PlanetBoom,Techno Core,P2,6,9,0,0,7,10,0,0,6,10,0,0,6,9,0,0,132
Stay with me,Ruby Tuesday,Techno Pop,P2,2,4,0,0,4,7,0,0,3,7,0,0,7,9,0,0,116
Sunny Side,Croove,Bright R&B,P1,4,8,0,0,5,9,0,0,5,8,11,0,9,0,0,0,150
Sunny Side ~Deepn' Soul Mix~,makou,Soul,P1,7,10,0,13,7,11,0,0,7,0,11,13,8,10,0,0,128
Sunset Rider,Nauts,School Rock,P2,5,9,0,0,6,10,0,0,5,7,11,0,6,9,0,0,133
Syriana,BEXTER,Urban Punk,P2,6,9,0,0,6,9,0,14,6,9,13,0,5,9,0,14,130
Temptation,S-TRO,2Step Garage,P1,4,10,0,0,4,10,0,0,6,0,12,0,9,0,0,0,133
The Feelings,Supbaby,Disco Funk,RP,5,7,0,0,6,9,0,0,6,10,0,0,6,10,0,0,127
The Lost Story,NEOWIZ Bless Soundteam,Pop,RP,1,4,0,0,4,8,0,0,2,7,0,0,4,7,0,0,166
The Obliterator,GOTH,Drumstep,RP,5,8,0,0,7,11,0,0,8,0,13,0,7,11,0,0,115
Tok! Tok! Tok!,STARTRACK,Pop,RP,4,7,0,0,4,7,0,0,4,6,10,0,5,8,11,0,137
Triple Zoe,Forte Escape,Progressive Rock,P1,4,12,0,0,6,11,0,14,8,12,0,14,10,13,0,0,133
U.A.D,HAYAKO,Future House,RP,3,6,0,0,5,10,0,15,6,8,11,0,8,0,12,13,126
Void,Kobayashi Tetsuya,,RP,3,7,11,0,5,11,0,0,5,10,0,0,5,11,0,0,104
voldenuit,Cuve,Electronica,RP,5,9,12,15,4,9,12,0,5,9,12,15,6,9,13,0,111
waiting for me,Croove,Pop,RP,3,8,0,0,4,8,0,0,4,9,0,0,5,9,0,0,119
Waiting for you,Mycin.T,School Rock,RP,4,8,0,14,6,10,0,0,6,12,0,14,7,11,0,0,132
Watch Your Step,XeoN,90's Dance,RP,4,0,12,0,5,8,0,14,3,0,10,14,3,6,13,0,102
We're All Gonna Die,Paul Bazooka,Neuro Funk,RP,8,12,14,0,8,13,0,15,11,13,15,15,8,13,15,0,136
WhiteBlue,zts,Trance,P2,7,9,13,0,6,10,13,15,7,11,13,15,8,11,13,0,144
WHY,Nauts,Piano,RP,3,7,0,0,5,10,0,0,2,7,10,0,4,7,0,0,126
Ya! Party!,Forte Escape,Candy Pop,P1,4,8,0,0,5,10,0,0,5,8,12,0,9,0,0,0,102
Yellowberry -AJ Mix-,Forte Escape,Ani Mellow,P2,4,7,0,0,3,6,0,0,5,9,0,0,4,11,0,0,139
Yo Creo Que Si,makou,Calypso House,P2,6,9,0,0,6,9,0,0,8,0,12,0,7,9,0,0,144
Your Own Miracle,Ruby Tuesday,Miracle Pop,P2,3,9,0,0,3,6,11,15,6,10,12,0,7,10,13,15,142
